Name,Category,Subcategory,Subsubcategory,URL,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,caffeine
Pink Drink Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,coconutmilk collection,https://www.starbucks.com/menu/product/2122275/iced, 12 fl oz,110.0, 2 g, 1.5 g, 0 g, 0 mg, 50 mg, 22 g, 1 g, 19 g, 0 g, 35 mg
Dragon Drink® Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,coconutmilk collection,https://www.starbucks.com/menu/product/2122756/iced, 12 fl oz,110.0, 2 g, 2 g, 0 g, 0 mg, 50 mg, 21 g, 1 g, 18 g, 1 g, 35 mg
Paradise Drink Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,coconutmilk collection,https://www.starbucks.com/menu/product/2123674/iced, 12 fl oz,110.0, 2 g, 1.5 g, 0 g, 0 mg, 50 mg, 21 g, 1 g, 18 g, 0 g, 35 mg
Dragon Drink® Starbucks Refreshers® Beverage with Oleato Golden Foam™,drinks,starbucks refreshers® beverages,coconutmilk collection,https://www.starbucks.com/menu/product/2123782/iced, 12 fl oz,340.0, 25 g, 11 g, 0 g, 40 mg, 60 mg, 27 g, 0 g, 25 g, 2 g, 30 mg
Paradise Drink Starbucks Refreshers® Beverage with Oleato Golden Foam™,drinks,starbucks refreshers® beverages,coconutmilk collection,https://www.starbucks.com/menu/product/2123779/iced, 12 fl oz,340.0, 25 g, 11 g, 0 g, 40 mg, 60 mg, 27 g, 0 g, 25 g, 2 g, 30 mg
Strawberry Açaí Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,classics,https://www.starbucks.com/menu/product/2121342/iced, 12 fl oz,80.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 18 g, 1 g, 16 g, 0 g, 35 mg
Mango Dragonfruit Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,classics,https://www.starbucks.com/menu/product/2122725/iced, 12 fl oz,70.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 18 g, 0 g, 15 g, 0 g, 35 mg
Pineapple Passionfruit Starbucks Refreshers® Beverage,drinks,starbucks refreshers® beverages,classics,https://www.starbucks.com/menu/product/2123675/iced, 12 fl oz,80.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 18 g, 0 g, 15 g, 0 g, 35 mg
Mocha Cookie Crumble Frappuccino®,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/956/iced, 12 fl oz,350.0, 17 g, 11 g, 0 g, 45 mg, 200 mg, 45 g, 2 g, 40 g, 4 g, 65 mg
Caramel Ribbon Crunch Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/1044/iced, 12 fl oz,330.0, 15 g, 10 g, 0 g, 50 mg, 200 mg, 45 g, 0 g, 42 g, 4 g, 60 mg
Espresso Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/500/iced, 12 fl oz,140.0, 1.5 g, 1 g, 0 g, 5 mg, 140 mg, 29 g, 0 g, 28 g, 2 g, 125 mg
Coffee Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/483/iced, 12 fl oz,160.0, 2.5 g, 1.5 g, 0 g, 10 mg, 160 mg, 31 g, 0 g, 31 g, 3 g, 65 mg
Caffè Vanilla Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/423/iced, 12 fl oz,280.0, 11 g, 7 g, 0 g, 35 mg, 160 mg, 44 g, 0 g, 43 g, 3 g, 65 mg
Caramel Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/424/iced, 12 fl oz,260.0, 11 g, 7 g, 0 g, 35 mg, 160 mg, 38 g, 0 g, 37 g, 3 g, 60 mg
Mocha Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/426/iced, 12 fl oz,250.0, 10 g, 6 g, 0 g, 30 mg, 160 mg, 36 g, 1 g, 35 g, 4 g, 70 mg
Java Chip Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/425/iced, 12 fl oz,320.0, 14 g, 9 g, 0 g, 35 mg, 190 mg, 46 g, 2 g, 42 g, 4 g, 75 mg
White Chocolate Mocha Frappuccino® Blended Beverage,drinks,frappuccino® blended beverages,coffee frappuccino®,https://www.starbucks.com/menu/product/428/iced, 12 fl oz,260.0, 11 g, 7 g, 0 g, 35 mg, 160 mg, 36 g, 0 g, 35 g, 4 g, 60 mg
Chocolate Cookie Crumble Crème Frappuccino®,drinks,frappuccino® blended beverages,creme frappuccino®,https://www.starbucks.com/menu/product/957/iced, 12 fl oz,330.0, 18 g, 12 g, 0.5 g, 45 mg, 210 mg, 38 g, 2 g, 33 g, 5 g, 10 mg
